week_monday,total_females,number_of_traps,females - mixed
2018-05-28,3489.0,37,94.29729729729729
2018-06-04,8391.0,44,190.70454545454547
2018-06-11,8653.0,44,196.6590909090909
2018-06-18,3807.0,40,95.175
2018-06-25,5309.0,46,115.41304347826087
2018-07-02,3437.0,40,85.925
2018-07-09,1830.0,44,41.59090909090909
2018-07-16,2977.0,43,69.23255813953489
2018-07-23,3511.0,42,83.5952380952381
2018-07-30,4078.0,45,90.62222222222222
2018-08-06,3057.0,45,67.93333333333334
2018-08-13,3750.0,44,85.22727272727273
2018-08-20,3220.0,42,76.66666666666667
2018-08-27,4229.0,45,93.97777777777777
2018-09-10,4668.0,42,111.14285714285714
2018-09-17,6259.0,44,142.25
2018-09-24,2106.0,41,51.36585365853659
2018-10-01,3063.0,40,76.575
2018-10-08,2297.0,43,53.41860465116279
2018-10-15,1572.0,40,39.3
2018-10-22,4941.0,42,117.64285714285714
2018-10-29,3846.0,42,91.57142857142857
2018-11-05,2351.0,40,58.775
2018-11-12,367.0,38,9.657894736842104
2018-11-19,1587.0,45,35.266666666666666
2018-11-26,386.0,38,10.157894736842104
2018-12-10,536.0,45,11.911111111111111
2019-01-07,365.0,34,10.735294117647058
2019-01-14,7.0,6,1.1666666666666667
2019-01-21,2426.0,43,56.41860465116279
2019-01-28,715.0,44,16.25
2019-02-04,1707.0,45,37.93333333333333
2019-02-11,305.0,38,8.026315789473685
2019-02-25,1790.0,42,42.61904761904762
2019-03-11,3438.0,44,78.13636363636364
2019-03-18,3162.0,39,81.07692307692308
2019-03-25,2879.0,45,63.977777777777774
2019-04-01,2186.0,35,62.457142857142856
2019-04-08,4146.0,44,94.22727272727273
2019-04-15,3332.0,46,72.43478260869566
2019-04-22,4954.0,45,110.08888888888889
2019-04-29,4108.0,45,91.28888888888889
2019-05-13,10572.0,42,251.71428571428572
2019-05-20,7321.0,43,170.25581395348837
2019-05-27,7202.0,44,163.6818181818182
2019-06-03,5490.0,34,161.47058823529412
2019-06-10,2907.0,43,67.6046511627907
2019-06-17,2193.0,44,49.84090909090909
2019-06-24,3935.0,46,85.54347826086956
2019-07-01,1564.0,41,38.146341463414636
